City,Country,Latitude,Longitude
Bilbao,Spain,43.2630,-2.9349
Naples,Italy,40.8518,14.2681
Turin,Italy,45.0703,7.6869
Florence,Italy,43.7696,11.2558
Porto,Portugal,41.1496,-8.6110
Coimbra,Portugal,40.2033,-8.4103
Bruges,Belgium,51.2093,3.2247
Antwerp,Belgium,51.2194,4.4025
Ghent,Belgium,51.0543,3.7174
Zurich,Switzerland,47.3769,8.5417
Geneva,Switzerland,46.2044,6.1432
Basel,Switzerland,47.5596,7.5886
Osijek,Croatia,45.5547,18.6939
Split,Croatia,43.5081,16.4402
Zagreb,Croatia,45.8150,15.9785
Tallinn,Estonia,59.4370,24.7536
Riga,Latvia,56.9496,24.1052
Vilnius,Lithuania,54.6872,25.2797
Tartu,Estonia,58.3776,26.7290
Lviv,Ukraine,49.8397,24.0297
Odessa,Ukraine,46.4825,30.7233
Kharkiv,Ukraine,50.0077,36.2310
Bucharest,Romania,44.4268,26.1025
Cluj-Napoca,Romania,46.7712,23.6236
Brasov,Romania,45.6580,25.6012
Sofia,Bulgaria,42.6977,23.3219
Plovdiv,Bulgaria,42.1354,24.7453
Varna,Bulgaria,43.2141,27.9147
Skopje,North Macedonia,41.9981,21.4254
Tirana,Albania,41.3275,19.8189
Podgorica,Montenegro,42.4410,19.2620
Sarajevo,Bosnia and Herzegovina,43.8563,18.4131
Belgrade,Serbia,44.8176,20.4569
Nis,Serbia,43.3209,21.8958
Ljubljana,Slovenia,46.0569,14.5058
